"Año","Trimestre","Accesos cada 100 Hogares","Accesos cada 100 Habitantes"
"2024","3","78,83","24,82"
"2024","2","78,13","24,57"
"2024","1","78,89","24,79"
"2023","4","78,56","24,66"
"2023","3","77,84","24,41"
"2023","2","77,02","24,14"
"2023","1","77,20","24,17"
"2022","4","77,21","24,15"
"2022","3","76,64","23,95"
"2022","2","75,97","23,72"
"2022","1","73,88","23,05"
"2021","4","73,18","22,81"
"2021","3","70,58","21,98"
"2021","2","69,24","21,55"
"2021","1","67,95","21,13"
"2020","4","67,62","21,01"
"2020","3","66,31","20,59"
"2020","2","64,21","19,92"
"2020","1","62,86","19,48"
"2019","4","62,92","19,49"
"2019","3","65,79","20,36"
"2019","2","64,53","19,96"
"2019","1","62,48","19,31"
"2018","4","61,42","18,97"
"2018","3","60,69","18,73"
"2018","2","59,16","18,24"
"2018","1","58,82","18,12"
"2017","4","57,78","17,79"
"2017","3","56,90","17,51"
"2017","2","54,90","16,88"
"2017","1","54,16","16,64"
"2016","4","53,94","16,56"
"2016","3","53,73","16,50"
"2016","2","53,34","16,37"
"2016","1","51,85","15,90"
"2015","4","52,63","16,12"
"2015","3","52,46","16,05"
"2015","2","51,76","15,82"
"2015","1","51,36","15,68"
"2014","4","50,50","15,39"
"2014","3","50,67","15,43"
"2014","2","49,86","15,16"
"2014","1","49,55","15,05"
