Año,Trimestre,Tot_Vel_Media_DL,Tot_Acc_ADSL,Tot_Acc_CaModem,Tot_Acc_FO,Tot_Acc_Wireless,Tot_Acc_Otros,Total,Periodo,Tot_pntrcion_x_c100_Hoga,Tot_pntrcion_x_c100_Habi,Tot_Acc_rango_0_512_kbps,Tot_Acc_rango_0.512->1_Mbps,Tot_Acc_rango_1->6_Mbps,Tot_Acc_rango_6->10_Mbps,Tot_Acc_rango_10->20_Mbps,Tot_Acc_rango_20->30_Mbps,Tot_Acc_rango_>30_Mbps,Tot_Acc_rango_Otros,Tot_Acc_rango,Tot_B_Ancha_Fija,Tot_DialUp,Tot_DialUp_+_B_Ancha_Fija,Ingresos (miles de pesos)
2014,1,3.6171267670209,3697066.0,2407330.0,150323.0,70749.0,72930.0,6398398.0,Ene-Mar 2014,49.545821345017,15.0501038728932,52684.0,687619.0,5130294.0,289182.0,101127.0,345.0,11595.0,0.0,6272846.0,6362108.0,36290.0,6398398.0,2984054.20878
2014,2,3.75871218894443,3708882.0,2461670.0,149363.0,72405.0,72148.0,6464468.0,Abr-Jun 2014,49.8614284376576,15.1639080079061,41064.0,656408.0,5149574.0,341689.0,147273.0,478.0,12259.0,0.0,6348745.0,6428329.0,36139.0,6464468.0,3270816.20391
2014,3,3.86726501227843,3714764.0,2569868.0,155494.0,85096.0,70049.0,6595271.0,Jul-Sept 2014,50.6723681347231,15.4287688044283,37430.0,608018.0,5153437.0,373372.0,182483.0,507.0,12424.0,0.0,6367671.0,6559264.0,36007.0,6595271.0,3478637.74279962
2014,4,4.15688796190556,3764038.0,2536219.0,149682.0,76984.0,71573.0,6598496.0,Oct-Dic 2014,50.4997884742653,15.3946769684574,44075.0,554749.0,5084556.0,496251.0,276254.0,4371.0,15229.0,0.0,6475485.0,6559172.0,39324.0,6598496.0,3950440.78037
2015,1,4.35027886167618,3756153.0,2668248.0,168188.0,79098.0,66045.0,6737732.0,Ene-Mar 2015,51.3645863622347,15.6772340033791,41158.0,516919.0,5121423.0,571620.0,348102.0,7643.0,16347.0,0.0,6623212.0,6699714.0,38018.0,6737732.0,4876385.31507
2015,2,4.54538147818226,3767821.0,2756294.0,150839.0,82077.0,59157.0,6816188.0,Abr-Jun 2015,51.7602660815406,15.8172335655737,40723.0,500175.0,5138431.0,645440.0,432762.0,10045.0,18529.0,0.0,6786105.0,6783279.0,32909.0,6816188.0,4701790.71966
2015,3,4.78891116867562,3788696.0,2840203.0,162663.0,84530.0,58976.0,6935068.0,Jul-Sept 2015,52.4591062215395,16.0502891476947,35030.0,455777.0,5087802.0,701187.0,539414.0,13101.0,20677.0,0.0,6852988.0,6902267.0,32801.0,6935068.0,5153738.88436
2015,4,4.99044890054109,3803024.0,2898226.0,139187.0,85726.0,58668.0,6984831.0,Oct-Dic 2015,52.6308875044894,16.1226969462781,34243.0,427394.0,5049640.0,726740.0,639011.0,17568.0,22170.0,0.0,6916766.0,6952289.0,32542.0,6984831.0,5376899.206
2016,1,5.08370177629755,3792493.0,2806359.0,164371.0,85370.0,58763.0,6907356.0,Ene-Mar 2016,51.845451696958,15.9018018688339,30428.0,404810.0,4944358.0,762999.0,641646.0,27664.0,23380.0,0.0,6835285.0,6874704.0,32652.0,6907356.0,5936844.8865
2016,2,5.42353097512933,3782085.0,3035272.0,167788.0,85452.0,59482.0,7130079.0,Abr-Jun 2016,53.3422011526116,16.3713514993317,44008.0,384221.0,5058481.0,796998.0,785759.0,73977.0,29020.0,0.0,7172464.0,7097604.0,32475.0,7130079.0,6534240.5975
