"Año","MesId","Mes","Postales","Telegráficas","Monetarios"
"2024","9","Septiembre","134694327569,18","3853948459,89","249487418,00"
"2024","8","Agosto","126259409217,98","3940588883,76","247690200,10"
"2024","7","Julio","112692023247,78","2767499850,29","249040365,60"
"2024","6","Junio","101694076169,19","2393235765,00","258823819,30"
"2024","5","Mayo","102135265840,44","3004700431,00","329326136,60"
"2024","4","Abril","87165866275,93","2771287310,00","-18432995,71"
"2024","3","Marzo","76726780789,56","2569940809,00","78334787,73"
"2024","2","Febrero","67014082089,83","2033092918,00","703117433,90"
"2024","1","Enero","64947880779,68","1430065876,00","343675503,90"
"2023","12","Diciembre","55880090551,81","1298095889,00","343948916,40"
"2023","11","Noviembre","50307510472,06","1719514897,00","352927355,40"
"2023","10","Octubre","42780111482,72","1063358167,00","431126177,30"
"2023","9","Septiembre","37466147878,86","965532732,50","357665942,90"
"2023","8","Agosto","35535370945,77","813860213,80","352449801,50"
"2023","7","Julio","30128554862,88","736374401,60","227471083,50"
"2023","6","Junio","28071519853,03","624353125,20","195402657,90"
"2023","5","Mayo","28293950009,79","687769771,10","180919599,50"
"2023","4","Abril","22716247245,55","601181661,00","188494688,50"
"2023","3","Marzo","21526839361,08","567284158,60","190573559,70"
"2023","2","Febrero","19206657219,45","519655413,20","186479305,50"
"2023","1","Enero","20729235744,60","380408998,40","126533197,90"
"2022","12","Diciembre","17385200928,34","432631721,00","102837050,50"
"2022","11","Noviembre","15908122008,21","392390614,50","129571615,40"
"2022","10","Octubre","14879779910,17","368333796,80","127431998,40"
"2022","9","Septiembre","16148259213,33","356663318,00","99412531,66"
"2022","8","Agosto","14491656961,08","366479073,50","100475241,20"
"2022","7","Julio","13643665484,12","277555912,60","113300036,50"
"2022","6","Junio","14906733192,48","313853272,10","132102421,20"
"2022","5","Mayo","12381928697,32","299641740,60","124460611,80"
"2022","4","Abril","10689873280,69","263836566,30","108607299,00"
"2022","3","Marzo","10756314668,39","283219942,40","101094703,50"
"2022","2","Febrero","9065659150,74","234704677,20","98893246,07"
"2022","1","Enero","8792445188,84","174206474,50","123934519,60"
"2021","12","Diciembre","9262515372,93","250372907,10","104909773,00"
"2021","11","Noviembre","9048156001,74","239530545,30","92693955,19"
"2021","10","Octubre","7957372234,89","224146090,40","66760182,98"
"2021","9","Septiembre","7470905334,72","258072590,60","89891417,95"
"2021","8","Agosto","7141996732,31","255742312,90","71894810,15"
"2021","7","Julio","7097958783,22","204588871,10","71724373,12"
"2021","6","Junio","7282833831,71","245089139,60","88206515,68"
"2021","5","Mayo","6615825846,27","201328649,00","84308185,32"
"2021","4","Abril","6246276788,71","163425828,80","64867151,54"
"2021","3","Marzo","6384360963,97","215575151,90","70677237,38"
"2021","2","Febrero","4953127041,08","160881876,90","66858968,31"
"2021","1","Enero","5165724452,12","107257048,30","83711103,77"
"2020","12","Diciembre","5736078881,29","149403542,10","79744761,62"
"2020","11","Noviembre","5618104579,92","152638007,50","110017545,30"
"2020","10","Octubre","5453111538,03","129577021,50","190678720,60"
"2020","9","Septiembre","5646104386,41","143372304,50","102460725,80"
"2020","8","Agosto","6119709989,04","135268987,90","56735392,84"
"2020","7","Julio","5093539477,94","123960457,20","73555937,10"
"2020","6","Junio","5021454349,75","148579328,70","54267067,00"
"2020","5","Mayo","4193539214,88","80872745,72","54476243,54"
"2020","4","Abril","3255984789,43","89842690,34","59205412,30"
"2020","3","Marzo","3874305173,93","97124949,45","42551067,71"
