"Año","Trimestre","Personal Ocupado"
"2024","3","30635"
"2024","2","30847"
"2024","1","34385"
"2023","4","34533"
"2023","3","33853"
"2023","2","34973"
"2023","1","35468"
"2022","4","35419"
"2022","3","35165"
"2022","2","36066"
"2022","1","38442"
"2021","4","37053"
"2021","3","36837"
"2021","2","37785"
"2021","1","35842"
"2020","4","33944"
"2020","3","34041"
"2020","2","33490"
"2020","1","34536"
"2019","4","35252"
"2019","3","33921"
"2019","2","34304"
"2019","1","34144"
"2018","4","35893"
"2018","3","36382"
"2018","2","36804"
"2018","1","37135"
"2017","4","37521"
"2017","3","37163"
"2017","2","38119"
"2017","1","38679"
"2016","4","38019"
"2016","3","37795"
"2016","2","36275"
"2016","1","36348"
"2015","4","35879"
"2015","3","35770"
"2015","2","35428"
"2015","1","35233"
"2014","4","36740"
"2014","3","35910"
"2014","2","36208"
"2014","1","36002"
"2013","4","36234"
"2013","3","35911"
"2013","2","36472"
"2013","1","37154"
