"Año","Trimestre","Ingresos"
"2024","3","153546025,20"
"2024","2","198688575,50"
"2024","1","148940350,30"
"2023","4","62663319,90"
"2023","3","58985969,28"
"2023","2","64560388,19"
"2023","1","60878900,19"
"2022","4","32356913,92"
"2022","3","29698512,57"
"2022","2","31258182,51"
"2022","1","30583344,00"
"2021","4","40616059,17"
"2021","3","20789995,21"
"2021","2","22178751,89"
"2021","1","21378667,69"
"2020","4","19750303,98"
"2020","3","18162023,89"
"2020","2","21035522,89"
"2020","1","17067597,82"
"2019","4","20321577,16"
"2019","3","13404569,15"
"2019","2","14181055,21"
"2019","1","12238568,39"
"2018","4","8997157,88"
"2018","3","10111350,57"
"2018","2","7911723,07"
"2018","1","8252279,99"
"2017","4","5514336,19"
"2017","3","6667943,53"
"2017","2","6970617,23"
"2017","1","6375681,76"
"2016","4","4964596,39"
"2016","3","4951967,66"
"2016","2","4718769,82"
"2016","1","4198260,39"
"2015","4","3815364,12"
"2015","3","3590883,18"
"2015","2","3425518,48"
"2015","1","3260124,75"
"2014","4","3339690,90"
"2014","3","3105462,02"
"2014","2","2974865,20"
"2014","1","2916071,75"
