"Año","MesId","Mes","Total General"
"2024","9","Septiembre","248324"
"2024","8","Agosto","263722"
"2024","7","Julio","266723"
"2024","6","Junio","178024"
"2024","5","Mayo","178256"
"2024","4","Abril","155812"
"2024","3","Marzo","149604"
"2024","2","Febrero","145787"
"2024","1","Enero","160634"
"2023","12","Diciembre","131142"
"2023","11","Noviembre","139067"
"2023","10","Octubre","140945"
"2023","9","Septiembre","157032"
"2023","8","Agosto","163571"
"2023","7","Julio","156958"
"2023","6","Junio","172718"
"2023","5","Mayo","190134"
"2023","4","Abril","195254"
"2023","3","Marzo","253637"
"2023","2","Febrero","208181"
"2023","1","Enero","265548"
"2022","12","Diciembre","269979"
"2022","11","Noviembre","299611"
"2022","10","Octubre","298154"
"2022","9","Septiembre","310435"
"2022","8","Agosto","317256"
"2022","7","Julio","298071"
"2022","6","Junio","313772"
"2022","5","Mayo","318805"
"2022","4","Abril","317497"
"2022","3","Marzo","340566"
"2022","2","Febrero","265379"
"2022","1","Enero","258813"
"2021","12","Diciembre","294356"
"2021","11","Noviembre","312348"
"2021","10","Octubre","264039"
"2021","9","Septiembre","282261"
"2021","8","Agosto","252698"
"2021","7","Julio","236738"
"2021","6","Junio","206029"
"2021","5","Mayo","189244"
"2021","4","Abril","232382"
"2021","3","Marzo","227134"
"2021","2","Febrero","176728"
"2021","1","Enero","170234"
"2020","12","Diciembre","201390"
"2020","11","Noviembre","235563"
"2020","10","Octubre","241917"
"2020","9","Septiembre","296507"
"2020","8","Agosto","295865"
"2020","7","Julio","253559"
"2020","6","Junio","249606"
"2020","5","Mayo","185916"
"2020","4","Abril","131172"
"2020","3","Marzo","259945"
"2020","2","Febrero","310721"
"2020","1","Enero","319361"
"2019","12","Diciembre","315457"
"2019","11","Noviembre","309564"
"2019","10","Octubre","331010"
"2019","9","Septiembre","314891"
"2019","8","Agosto","317520"
"2019","7","Julio","317210"
"2019","6","Junio","277982"
"2019","5","Mayo","323284"
"2019","4","Abril","265510"
"2019","3","Marzo","215122"
"2019","2","Febrero","209804"
"2019","1","Enero","199162"
"2018","12","Diciembre","166967"
"2018","11","Noviembre","171576"
"2018","10","Octubre","168454"
"2018","9","Septiembre","150804"
"2018","8","Agosto","145810"
"2018","7","Julio","126630"
"2018","6","Junio","120758"
"2018","5","Mayo","130154"
"2018","4","Abril","113636"
"2018","3","Marzo","114126"
"2018","2","Febrero","90816"
"2018","1","Enero","106092"
"2017","12","Diciembre","102618"
"2017","11","Noviembre","113740"
"2017","10","Octubre","110786"
"2017","9","Septiembre","104109"
"2017","8","Agosto","114627"
"2017","7","Julio","110699"
"2017","6","Junio","104675"
"2017","5","Mayo","110304"
"2017","4","Abril","100241"
"2017","3","Marzo","125312"
"2017","2","Febrero","97738"
"2017","1","Enero","117961"
"2016","12","Diciembre","139777"
"2016","11","Noviembre","173043"
"2016","10","Octubre","178771"
"2016","9","Septiembre","177072"
"2016","8","Agosto","180968"
"2016","7","Julio","154234"
"2016","6","Junio","154196"
"2016","5","Mayo","148327"
"2016","4","Abril","143274"
"2016","3","Marzo","128411"
"2016","2","Febrero","107273"
"2016","1","Enero","102891"
"2015","12","Diciembre","117140"
"2015","11","Noviembre","117154"
"2015","10","Octubre","128001"
"2015","9","Septiembre","124779"
"2015","8","Agosto","106316"
"2015","7","Julio","122893"
"2015","6","Junio","127486"
"2015","5","Mayo","100936"
"2015","4","Abril","103422"
"2015","3","Marzo","84411"
"2015","2","Febrero","73881"
"2015","1","Enero","84687"
"2014","12","Diciembre","90113"
"2014","11","Noviembre","74132"
"2014","10","Octubre","97254"
"2014","9","Septiembre","88994"
"2014","8","Agosto","80264"
"2014","7","Julio","85713"
"2014","6","Junio","74669"
"2014","5","Mayo","58527"
"2014","4","Abril","48043"
"2014","3","Marzo","41372"
"2014","2","Febrero","33185"
"2014","1","Enero","30223"
"2013","12","Diciembre","33293"
"2013","11","Noviembre","33236"
"2013","10","Octubre","34563"
"2013","9","Septiembre","33683"
"2013","8","Agosto","28542"
"2013","7","Julio","27105"
"2013","6","Junio","22065"
"2013","5","Mayo","28883"
"2013","4","Abril","27522"
"2013","3","Marzo","24265"
"2013","2","Febrero","20329"
"2013","1","Enero","27555"
"2012","12","Diciembre","26797"
"2012","11","Noviembre","30439"
"2012","10","Octubre","35617"
"2012","9","Septiembre","33392"
"2012","8","Agosto","33518"
"2012","7","Julio","33805"
"2012","6","Junio","30824"
"2012","5","Mayo","34635"
"2012","4","Abril","8034"
"2012","3","Marzo","153"
