,Fecha,Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov,Tasa_Crec_Accesos_x_Prov,Tasa_Crec_Pntcion_xc100_Hoga_x_Prov,Tasa_Crec_Pntcion_xc100_Habi_x_Prov,Tasa_Crec_Acc_ADSL_x_Prov,Tasa_Crec_Acc_CaModem_x_Prov,Tasa_Crec_Acc_FO_x_Prov,Tasa_Crec_Acc_Wireless_x_Prov,Tasa_Crec_Acc_Otros_x_Prov,Tasa_Crec_Acc_rango_0->512_kbps_x_Prov,Tasa_Crec_Acc_rango_0.512->1_Mbps_x_Prov,Tasa_Crec_Acc_rango_1->6_Mbps_x_Prov,Tasa_Crec_Acc_rango_6->10_Mbps_x_Prov,Tasa_Crec_Acc_rango_10->20_Mbps_x_Prov,Tasa_Crec_Acc_rango_20->30_Mbps_x_Prov,Tasa_Crec_Acc_rango_>30_Mbps_x_Prov,Tasa_Crec_Acc_rango_Otros_Mbps_x_Prov
0,2014-01-01,2014,1,Buenos Aires,3.73313279998293,1567685.0,1000879.0,120960.0,16528.0,33824.0,2739876.0,16.692346018019,54.5700728794398,8469.0,171244.48,2279875.0,121787.12,38923.32,206.16,4037.0,0.0,2624542.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2014-04-01,2014,2,Buenos Aires,3.85186276004367,1568881.0,1025490.0,120008.0,17020.0,33147.0,2764546.0,16.7949254349917,55.0614169514339,6902.0,162273.72,2288771.6,140226.12,56548.92,284.32,4309.0,0.0,2659315.68,0.7921268880036969,0.7921577079269548,0.749513055820894,0.46412564608400153,1.0059000610855628,-0.21387966454663454,0.9110396570203738,0.0,-0.5868544600938996,-8.32445450361563,-1.6273527667533538,24.278419094508585,44.34904355105769,7.002188183807423,3.5277061855670144,0.0
71,2014-07-01,2014,3,Buenos Aires,3.96904699117324,1562533.0,1110628.0,124474.0,20049.0,31881.0,2849565.0,17.262998432341,56.754739164071,7355.0,128186.72,2281523.6,156693.12,68946.92,243.32,4232.0,0.0,2647180.68,0.010365849238502811,0.10051080461359607,-0.015564676484969286,-1.9961977186311763,0.22450215662110917,0.22562045625469374,15.451713395638622,-0.0034203235626084627,0.0,0.0,-0.34205105798639224,-1.7536448933092696,-6.230069093808133,3.719991528485478,0.2967783351815356,-52.98507462686567
75,2014-10-01,2014,4,Buenos Aires,4.19894350823666,1575978.0,1070135.0,120528.0,17728.0,32038.0,2816407.0,17.0147634301905,56.0943365301975,8226.0,132937.2,2250445.44,203620.2,104322.12,996.96,5406.0,0.0,2705953.92,0.3839619748760459,0.4743744395444338,0.3617062022211348,-8.144755747126442,1.0037937878798031,3.8380134988750925,1.8489170628631868,-0.04341002437640018,-6.394316163410307,228.90855457227138,-15.30774616510725,-5.505561728470432,-7.684282150147426,-35.1524230394727,3.496091691283243,0.0
119,2015-01-01,2015,1,Buenos Aires,4.32380370934677,1583135.0,1096836.0,134177.0,18754.0,28940.0,2861842.0,17.241393436944,56.3704843302674,8882.0,123588.88,2267851.56,220070.4,126958.44,1560.64,5700.0,0.0,2754611.92,7.422488697938379,7.2047965628907695,7.201121269199828,-15.887455045483389,-39.22794354578849,44.53946012775602,0.07530120481926694,0.0,0.0,-9.42982456140351,-16.142270861833108,-12.184334427165078,-18.328963866408298,-9.784631746875828,22.990340193196147,0.0
137,2015-04-01,2015,2,Buenos Aires,4.46349566354801,1581770.0,1141052.0,115660.0,19268.0,26040.0,2883790.0,17.325662544573,56.8028056143921,8714.0,137188.96,2299705.32,243502.6,159921.64,2009.68,6712.0,0.0,2857754.2,0.11322542257345969,-0.9714789648455402,-0.15889013271128682,-0.8184026188883808,1.826453014665952,13.440860215053775,0.0,0.0,0.0,-8.735536328572913,-0.9984819653203858,4.191745485812559,4.9048751486325814,8.978873239436624,15.723270440251568,0.0
162,2015-07-01,2015,3,Buenos Aires,4.70059791427046,1585467.0,1183894.0,113590.0,19989.0,25825.0,2928765.0,17.5478839831824,57.6886810560801,8361.0,107351.48,2266948.24,262563.76,200490.96,2642.32,7720.0,0.0,2856077.76,-0.38509842560661145,-0.6116279602272345,-0.6182252412763489,-8.764780340217959,-5.053760109069505,15.089193170039827,0.1714845663890241,0.0,0.0,-4.7315741583257465,4.233775461866407,-5.302566517541796,-59.847832328452476,22.763602828158614,21.168938455183817,-51.08179419525065
186,2015-10-01,2015,4,Buenos Aires,4.88414890585654,1586343.0,1223603.0,103269.0,20397.0,25773.0,2959385.0,17.6833488562859,58.2918218273372,7984.92,100302.64,2253196.96,274559.6,240187.64,3834.52,8179.96,0.0,2888246.24,30.588511137162943,30.01564995184136,30.010300775874697,28.106105378006085,429.0534208059981,32.86026200873362,2.341973624374716,41.96502914238134,8.188585607940446,-4.706163401815577,-2.5989696312364474,24.255319148936174,0.0,0.0,0.0,0.0
214,2016-01-01,2016,1,Buenos Aires,4.99216843748391,1583560.0,1200859.0,111231.0,21108.0,25757.0,2942515.0,17.5350792164395,57.3359078225411,7350.92,97879.92,2214759.68,289929.08,247372.32,8315.0,9528.88,0.0,2875135.8,108.17308805700803,-38.84516041137128,-40.56217873594361,335.1025273480551,125.71158930507855,83.12334476285552,-59.69461599639978,-34.57158400761637,-11.2,-4.477611940298509,1.320396347742503,-1.7797378874605085,0.6476912231230258,1.8610985020426796,-11.89940332879723,0.2114292618098368
232,2016-04-01,2016,2,Buenos Aires,5.41514436700482,1579448.0,1305949.0,113070.0,21163.0,25661.0,3045291.0,18.0986845682896,59.3385267910581,10786.0,133385.0,2250898.04,335296.0,334723.0,31494.0,11933.0,0.0,3108515.04,-0.11948017021371493,-0.38226440213035007,-0.3814525018255299,-1.2025465017089232,0.22698489418588874,4.962816815905291,23.555186220442703,-10.341463414634145,-71.17437722419928,-8.958281080177244,-1.429436976864218,-1.6337488015340407,-8.250613124814565,38.00514552741656,19.577117832215674,-19.295452283809333
